CPU %,Memory,File Descriptors,Timestamp
3.0,113721344,89,2022-06-08 10:17:31.395387
2.8,113549312,89,2022-06-08 10:17:36.401383
6.6,113651712,87,2022-06-08 10:17:41.407751
3.2,116248576,89,2022-06-08 10:17:46.412814
3.2,113655808,89,2022-06-08 10:17:51.419185
3.2,113483776,89,2022-06-08 10:17:56.425716
