CPU %,Memory,File Descriptors,Timestamp
0.8,344436736,242,2022-06-06 20:23:06.654068
0.0,344678400,242,2022-06-06 20:23:11.660805
0.4,344420352,242,2022-06-06 20:23:16.667655
0.4,344420352,242,2022-06-06 20:23:21.674456
0.0,344420352,242,2022-06-06 20:23:26.677993
0.0,344420352,242,2022-06-06 20:23:31.680002
0.0,344420352,242,2022-06-06 20:23:36.686605
